accession_number,filing_date,reportDate,acceptanceDateTime,act,form,fileNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,event_date,quarter
0001140361-24-040726,2024-09-10,2024-09-09,2024-09-10 20:13:40+00:00,34,8-K,001-35700,"1.01,2.01,3.02,3.03,5.02,5.03,7.01,8.01,9.01",632521,1,1,ef20035628_8k.htm,8-K,2024-09-09,2024Q3
0001193125-21-084144,2021-03-17,2021-03-17,2021-03-17 20:40:58+00:00,34,8-K,001-35700,"2.01,2.03,8.01,9.01",533895,1,1,d137304d8k.htm,8-K,2021-03-17,2021Q1
0001193125-18-343869,2018-12-06,2018-11-29,2018-12-06 22:17:02+00:00,34,8-K,001-35700,"1.01,2.01,2.03,9.01",2132293,0,0,d661873d8k.htm,FORM 8-K,2018-11-29,2018Q4
0001539838-17-000074,2017-05-03,2017-02-28,2017-05-03 21:25:00+00:00,34,8-K/A,001-35700,"2.01,9.01",1091227,0,0,diamondback8-kax5x3x17.htm,DIAMONDBACK 8-K/A,2017-02-28,2017Q1
0001539838-17-000040,2017-03-06,2017-02-28,2017-03-06 22:23:10+00:00,34,8-K,001-35700,"1.01,2.01,3.02,3.03,7.01,9.01",243956,0,0,diamondback8-kx3x6x17.htm,DIAMONDBACK 8-K,2017-02-28,2017Q1
0001539838-14-000096,2014-09-12,2014-09-09,2014-09-12 21:19:11+00:00,34,8-K,001-35700,"2.01,8.01,9.01",6383805,0,0,a20148kacquisitionssept2014.htm,8-K,2014-09-09,2014Q3
0001539838-14-000056,2014-05-14,2014-02-27,2014-05-14 21:16:31+00:00,34,8-K/A,001-35700,"2.01,9.01",1525652,0,0,a20148kacquisitions.htm,8-K/A,2014-02-27,2014Q1
0001539838-14-000020,2014-03-05,2014-02-27,2014-03-05 22:25:47+00:00,34,8-K,001-35700,"2.01,9.01",30798,0,0,diamondbackform8kcompletio.htm,8-K,2014-02-27,2014Q1
