sensor_id,series_id,series_title,role,segment,weight,route_note
fabricated_metal_output_proxy,WPU107,Fabricated structural metal products PPI,output_price,ingalls_shipbuilding,1.00,SHIPBUILDING_OUTPUT_PRICE_PROXY_NOT_DEDICATED_SERIES
nonferrous_input,WPU102,Nonferrous metals PPI,input_cost,ingalls_shipbuilding,0.50,SHIPBUILDING_INPUT_COST
fabricated_metal_input,WPU107,Fabricated structural metal products PPI,input_cost,ingalls_shipbuilding,0.30,SHIPBUILDING_INPUT_COST
electrical_equipment_input,WPU117,Electrical machinery and equipment PPI,input_cost,ingalls_shipbuilding,0.20,SHIPBUILDING_INPUT_COST
fabricated_metal_output_proxy,WPU107,Fabricated structural metal products PPI,output_price,newport_news_shipbuilding,1.00,SHIPBUILDING_OUTPUT_PRICE_PROXY_NOT_DEDICATED_SERIES
nonferrous_input,WPU102,Nonferrous metals PPI,input_cost,newport_news_shipbuilding,0.50,SHIPBUILDING_INPUT_COST
fabricated_metal_input,WPU107,Fabricated structural metal products PPI,input_cost,newport_news_shipbuilding,0.30,SHIPBUILDING_INPUT_COST
electrical_equipment_input,WPU117,Electrical machinery and equipment PPI,input_cost,newport_news_shipbuilding,0.20,SHIPBUILDING_INPUT_COST
electrical_equipment_output_proxy,WPU117,Electrical machinery and equipment PPI,output_price,mission_technologies,1.00,MISSION_TECHNOLOGIES_OUTPUT_PRICE_PROXY
nonferrous_input,WPU102,Nonferrous metals PPI,input_cost,mission_technologies,0.20,MISSION_TECHNOLOGIES_INPUT_COST
fabricated_metal_input,WPU107,Fabricated structural metal products PPI,input_cost,mission_technologies,0.20,MISSION_TECHNOLOGIES_INPUT_COST
electrical_equipment_input,WPU117,Electrical machinery and equipment PPI,input_cost,mission_technologies,0.60,MISSION_TECHNOLOGIES_INPUT_COST
