category_code,business_proxy,reported_2025_sales_usd,weight,source_grade
33C,Construction Industries,25060000000,0.359376681,B
33D,Resource Industries,12474000000,0.178869362,B
33S,Power & Energy broad machinery proxy,32201000000,0.461753957,C
