fiscal_year,filing_date,accession,primary_document,source_url,local_path
2021,2022-02-16,0000018230-22-000050,cat-20211231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823022000050/cat-20211231.htm,data-lake/bronze/snapshots/industrials_cat_10k/fiscal_year=2021/cat-20211231.htm
2022,2023-02-15,0000018230-23-000011,cat-20221231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823023000011/cat-20221231.htm,data-lake/bronze/snapshots/industrials_cat_10k/fiscal_year=2022/cat-20221231.htm
2023,2024-02-16,0000018230-24-000009,cat-20231231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823024000009/cat-20231231.htm,data-lake/bronze/snapshots/industrials_cat_10k/fiscal_year=2023/cat-20231231.htm
2024,2025-02-14,0000018230-25-000008,cat-20241231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823025000008/cat-20241231.htm,data-lake/bronze/snapshots/industrials_cat_10k/fiscal_year=2024/cat-20241231.htm
2025,2026-02-13,0000018230-26-000008,cat-20251231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/cat-20251231.htm,data-lake/bronze/snapshots/industrials_cat_10k/fiscal_year=2025/cat-20251231.htm

