ticker,report_quarter,segment,manual_value,manual_unit,manual_period,manual_semantics
CVX,2025Q3,downstream,1137.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
CVX,2025Q3,upstream,3302.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
CVX,2025Q4,downstream,823.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
CVX,2025Q4,upstream,3035.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
CVX,2026Q1,downstream,-817.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
CVX,2026Q1,upstream,3909.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
CVX,2026Q2,downstream,4868.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
CVX,2026Q2,upstream,8182.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
XOM,2025Q2,chemicals,293.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
XOM,2025Q2,downstream,2146.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
XOM,2025Q2,upstream,5402.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
XOM,2025Q3,chemicals,515.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
XOM,2025Q3,downstream,2580.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
XOM,2025Q3,upstream,5679.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
XOM,2025Q4,chemicals,-281.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
XOM,2025Q4,downstream,4072.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
XOM,2025Q4,upstream,3517.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
XOM,2026Q1,chemicals,110.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
XOM,2026Q1,downstream,-611.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
XOM,2026Q1,upstream,5737.0,usd_million,THREE_MONTHS,GAAP_SEGMENT_EARNINGS
