ticker,year,release_file,source_display_scale_usd,production_mboe,lease_operating_usd,production_tax_usd,transport_usd,dda_usd,g_and_a_usd
FANG,2017,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,1000,28917,126524000,73505000,12834000,326759000,48669000
FANG,2018,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,1000,47610,204975000,132661000,26113000,623039000,64554000
FANG,2019,2020-02-18_0001539838-20-000006_EX-99.1_diamondbackex991-2x18x.htm,1000000,103285,490000000,248000000,88000000,1447000000,104000000
FANG,2020,2021-02-22_0001539838-21-000004_EX-99.1_diamondbackex991-2x22x21.htm,1000000,109921,425000000,195000000,140000000,1304000000,88000000
