year,fnsd_folder,adsh,expected_ep_segment_dimh,required_text_tag,required_phrase
2021,2022q1_notes,0001558370-22-001283,0xbfcc26f79e52fb34d485be40058529a5,SegmentReportingDisclosureTextBlock,exploration and production
2022,2023q1_notes,0001558370-23-001378,0xbfcc26f79e52fb34d485be40058529a5,SegmentReportingDisclosureTextBlock,exploration and production
2023,2024q1_notes,0001558370-24-001162,0xbfcc26f79e52fb34d485be40058529a5,SegmentReportingDisclosureTextBlock,exploration and production
2024,2025q1_notes,0001558370-25-000864,0xbfcc26f79e52fb34d485be40058529a5,SegmentReportingDisclosureTextBlock,exploration and production
