sensor_id,source,dataset,raw_series,categories,data_type_code,pqci_dimension,economic_role,lead_months,grade,direction,weight,target,transformation
m3_shipments,Census,manufacturing_orders_shipments_inventories,33C|33D|33S:VS,33C|33D|33S,VS,Q,COINCIDENT,0,B,1,0.50,revenue_growth,ytd_yoy
m3_new_orders,Census,manufacturing_orders_shipments_inventories,33C|33D|33S:NO,33C|33D|33S,NO,Q,LEADING,6,B,1,0.25,revenue_growth,ytd_yoy
m3_unfilled_orders,Census,manufacturing_orders_shipments_inventories,33C|33D|33S:UO,33C|33D|33S,UO,Q,LEADING,6,B,1,0.25,revenue_growth,latest_yoy
m3_inventory,Census,manufacturing_orders_shipments_inventories,33C|33D|33S:TI,33C|33D|33S,TI,I,LEADING,3,B,1,1.00,reinvestment,ytd_yoy
final_demand_ppi,BLS,price_labor_activity,WPUFD4,,WPUFD4,P,COINCIDENT,0,C,1,0.40,cost_growth,ytd_yoy
private_hourly_earnings,BLS,price_labor_activity,CES0500000003,,CES0500000003,C,COINCIDENT,0,C,1,0.60,cost_growth,ytd_yoy
