ticker,group,year,revenue_usd,cost_and_expense_usd,income_before_tax_usd,end_reserves_mmcfe,production_mmcfe,extensions_mmcfe,revisions_mmcfe,production_mboe,actual_price_per_boe,actual_complete_company_unit_cost_per_boe,income_identity_error_usd,income_identity_passed,effective_tax_rate,tax_rate_method,single_operating_segment_phrase_proven,source_form,source_filed_date,source_available_by_research_cutoff,source_num_path,source_txt_path,source_verification_route,reserve_values_verified_from_local_fnsd,local_fnsd_source_files_present,source_registry_record_sha256,source_evidence_bundle_sha256,source_cell_checks,source_cell_checks_passed,operating_scope,normal_roic_claimed,terminal_input_allowed,research_only,begin_reserves_mmcfe,net_reserve_transaction_balancing_mmcfe,purchases_identity_mmcfe,sales_identity_mmcfe,reserve_rollforward_identity_error_mmcfe,reserve_rollforward_identity_passed,reserve_event_ratio,reserve_event_zero_semantics,source_cells_fully_verified
RRC,gas_heavy,2020,1968697000.0,2706026000.0,-737329000.0,17203114.0,816456.0,1264282.0,-608211.0,136076.0,14.467628384138276,19.886137158646637,0.0,True,0.35,INFERRED_FROM_NET_INCOME_PLUS_TAX,True,10-K,2021-02-23,True,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2021q1_notes\num.tsv,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2021q1_notes\txt.tsv,LIVE_SEC_COMPANYFACTS_PLUS_CURATED_LOCAL_FNSD_GOLD_REGISTRY,True,True,da29b98c50c621d740beb83acd2f09ad9eb20bf439ac923b1119e375fca75ee3,16f02f7cf018ae8a36c886d6a0642564a7148044e18d9fd250e2b0d4c19e2ed0,10,10,CONSOLIDATED_SINGLE_OPERATING_SEGMENT_ALL_REVENUES_AND_COSTS,False,False,True,,,,,,True,,NET_TRANSACTION_BALANCING_ITEM_FROM_STANDARDIZED_ROLLFORWARD_NOT_CLAIMED_AS_DIRECT_DISCLOSURE,True
RRC,gas_heavy,2021,2930223000.0,2528188000.0,402035000.0,17775484.0,777523.0,1602769.0,-252876.0,129587.16666666667,22.611984468626652,19.50955534434351,0.0,True,0.21,US_STATUTORY_21PCT_FALLBACK,True,10-K,2022-02-22,True,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2022q1_notes\num.tsv,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2022q1_notes\txt.tsv,LIVE_SEC_COMPANYFACTS_PLUS_CURATED_LOCAL_FNSD_GOLD_REGISTRY,True,True,dc0a019a43bd36f1ab147387ca0645262e4c62c38a09621be8a6584d8e87919c,a98b3a2602e452c92e5ec554cde183d6c3f0f2b8aa6fd91fb5696a3d75f656f3,10,10,CONSOLIDATED_SINGLE_OPERATING_SEGMENT_ALL_REVENUES_AND_COSTS,False,False,True,17203114.0,0.0,0.0,-0.0,0.0,True,0.0,NET_TRANSACTION_BALANCING_ITEM_FROM_STANDARDIZED_ROLLFORWARD_NOT_CLAIMED_AS_DIRECT_DISCLOSURE,True
RRC,gas_heavy,2022,4146803000.0,2732973000.0,1413830000.0,18077656.0,774089.0,1668244.0,-591983.0,129014.83333333333,32.142063767861316,21.183401391829623,0.0,True,0.1839875408764881,INFERRED_FROM_NET_INCOME_PLUS_TAX,True,10-K,2023-02-27,True,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2023q1_notes\num.tsv,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2023q1_notes\txt.tsv,LIVE_SEC_COMPANYFACTS_PLUS_CURATED_LOCAL_FNSD_GOLD_REGISTRY,True,True,1df1633ff4bcbc72ac6ad4f9e7e993ef5cc7c96af6a3ee135741b6748ccb927c,16039ba42956fb2599ccf3a79044564f4086079735714cfd56e22810c448c49e,10,10,CONSOLIDATED_SINGLE_OPERATING_SEGMENT_ALL_REVENUES_AND_COSTS,False,False,True,17775484.0,0.0,0.0,-0.0,0.0,True,0.0,NET_TRANSACTION_BALANCING_ITEM_FROM_STANDARDIZED_ROLLFORWARD_NOT_CLAIMED_AS_DIRECT_DISCLOSURE,True
RRC,gas_heavy,2023,3374418000.0,2274075000.0,1100343000.0,18113125.0,780575.0,207260.0,608784.0,130095.83333333333,25.93794062069628,17.479998718893125,0.0,True,0.19876675298362045,INFERRED_FROM_NET_INCOME_PLUS_TAX,True,10-K,2024-02-21,True,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2024q1_notes\num.tsv,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2024q1_notes\txt.tsv,LIVE_SEC_COMPANYFACTS_PLUS_CURATED_LOCAL_FNSD_GOLD_REGISTRY,True,True,3b318daa722d419dc01508eedbd7d97cffd4f4a204094dc88acc7a1d69b7784c,a148d4fd74097949812b6129133141c4bc5fdd3215f6d06df8815612606fa03c,10,10,CONSOLIDATED_SINGLE_OPERATING_SEGMENT_ALL_REVENUES_AND_COSTS,False,False,True,18077656.0,0.0,0.0,-0.0,0.0,True,0.0,NET_TRANSACTION_BALANCING_ITEM_FROM_STANDARDIZED_ROLLFORWARD_NOT_CLAIMED_AS_DIRECT_DISCLOSURE,True
RRC,gas_heavy,2024,2417084000.0,2166479000.0,250605000.0,18131475.0,796235.0,749362.0,75765.0,132705.83333333334,18.213848926510387,16.32542402682625,0.0,True,0.21,US_STATUTORY_21PCT_FALLBACK,True,10-K,2025-02-25,True,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2025q1_notes\num.tsv,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2025q1_notes\txt.tsv,LIVE_SEC_COMPANYFACTS_PLUS_CURATED_LOCAL_FNSD_GOLD_REGISTRY,True,True,594b0762b2032a758e98dd1dbc0f9d15eb8080b10a78b812ac3427a63d81ac0f,1c4393dfd212a2e30c1417610c69a6cedaa2159c2dd61de3ab7ee15dc6e26dd9,10,10,CONSOLIDATED_SINGLE_OPERATING_SEGMENT_ALL_REVENUES_AND_COSTS,False,False,True,18113125.0,-10542.0,0.0,10542.0,0.0,True,0.0005820089023843208,NET_TRANSACTION_BALANCING_ITEM_FROM_STANDARDIZED_ROLLFORWARD_NOT_CLAIMED_AS_DIRECT_DISCLOSURE,True
