ticker,group,project_development_roic_pct,reserve_replacement_roic_pct,acquisition_return_proxy_pct,company_organic_roic_low_pct,company_organic_roic_high_pct,available_independent_anchor_count,anchors_inside_company_range,anchor_range_concordance_ratio,project_inside_company_range,reserve_inside_company_range,acquisition_inside_company_range,acquisition_semantics,comparison_status,normal_roic_claimed,terminal_input_allowed,research_only
AR,gas_heavy,30.213649009639354,26.31864158365348,,-7.420999766925554,1.5879639264246663,2,0,0.0,False,False,,NOT_APPLICABLE_NO_MATERIAL_ACQUISITION_IN_COHORT_WINDOW,CROSS_LEVEL_ECONOMICS_DIVERGE,False,False,True
DVN,mixed,,,18.19837859105508,-2.175785003147518,39.30149227982929,1,1,1.0,,,True,PREDEAL_TARGET_RUN_RATE_PROXY_NOT_NORMAL_ACQUISITION_ROIC,ALL_AVAILABLE_ANCHORS_INSIDE_COMPANY_RANGE,False,False,True
FANG,oil_heavy,119.4054075444966,41.87448476131674,3.016280697174831,-61.70582529220714,65.00084381385834,3,2,0.6666666666666666,False,True,True,PREDEAL_TARGET_RUN_RATE_PROXY_NOT_NORMAL_ACQUISITION_ROIC,CROSS_LEVEL_ECONOMICS_DIVERGE,False,False,True
