forecast_as_of,model_version,sector,subindustry,ticker,target_period,input_hash,revenue_forecast_usd,ebit_forecast_usd,margin_forecast_pct,fcff_forecast_usd,roic_forecast_pct,forward_dcf_value_per_share,reverse_dcf_metric,reverse_dcf_value,expectations_gap_pct,consensus_value_usd,consensus_as_of,source_manifest_sha256,created_at
2026-09-03,ENERGY_VALUATION_V1_1,Energy,ep,AR,2027Q1,4cc12f89b16ee036f590436d87ef3b06cd99327475dd0e64f1933c6ea2a65448,6598990731.099745,1301662660.306866,19.72517788473904,-1042150675.2065848,8.61795092682996,75.16570258422018,MARKET_IMPLIED_OPERATING_MARGIN_PCT,15.49038318087696,98.1173044410842,1697350534.0,2026-07-31,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,2026-09-02T16:40:50+00:00
2026-09-03,ENERGY_VALUATION_V1_1,Energy,services,BKR,2027Q1,4cc12f89b16ee036f590436d87ef3b06cd99327475dd0e64f1933c6ea2a65448,28643659328.541767,2979627359.652985,10.40239770162312,1594973728.26082,9.859350124556926,39.90376197983507,MARKET_IMPLIED_OPERATING_MARGIN_PCT,17.371685276564676,-35.99011568469083,7271721599.0,2026-07-31,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,2026-09-02T16:40:50+00:00
2026-09-03,ENERGY_VALUATION_V1_1,Energy,ep,CNX,2027Q1,4cc12f89b16ee036f590436d87ef3b06cd99327475dd0e64f1933c6ea2a65448,2622643952.046694,993454429.17408,37.87988180396332,2498775399.6987247,5.201469322402524,87.20423094712775,MARKET_IMPLIED_OPERATING_MARGIN_PCT,21.552862060430925,139.8356146405042,573285000.0,2026-07-31,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,2026-09-02T16:40:50+00:00
2026-09-03,ENERGY_VALUATION_V1_1,Energy,ep,COP,2027Q1,4cc12f89b16ee036f590436d87ef3b06cd99327475dd0e64f1933c6ea2a65448,55162886985.49829,17780430228.061974,32.23259549982627,5738102794.802986,16.86619375506222,224.82311442459516,MARKET_IMPLIED_OPERATING_MARGIN_PCT,24.00279048382072,66.69616858015608,16195649790.0,2026-07-31,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,2026-09-02T16:40:50+00:00
2026-09-03,ENERGY_VALUATION_V1_1,Energy,integrated,CVX,2027Q1,4cc12f89b16ee036f590436d87ef3b06cd99327475dd0e64f1933c6ea2a65448,198222099016.73483,27563895342.49147,13.905561226129684,11586047361.346666,12.203955112921747,184.3058500223161,MARKET_IMPLIED_OPERATING_MARGIN_PCT,18.71962330982205,-10.212965271983164,49755813640.0,2026-07-31,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,2026-09-02T16:40:50+00:00
2026-09-03,ENERGY_VALUATION_V1_1,Energy,ep,DVN,2027Q1,4cc12f89b16ee036f590436d87ef3b06cd99327475dd0e64f1933c6ea2a65448,17572412508.35445,4961486453.218492,28.23452073447316,2422906532.361916,15.248515535030036,124.13390484186972,MARKET_IMPLIED_OPERATING_MARGIN_PCT,14.368709679954918,152.8185513229627,6577879387.0,2026-07-31,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,2026-09-02T16:40:50+00:00
2026-09-03,ENERGY_VALUATION_V1_1,Energy,ep,EOG,2027Q1,4cc12f89b16ee036f590436d87ef3b06cd99327475dd0e64f1933c6ea2a65448,24863387651.624504,8149645324.3842,32.77769481204113,5057241725.16189,20.580901119557726,261.52746503261505,MARKET_IMPLIED_OPERATING_MARGIN_PCT,21.983445765916255,70.87713807112618,6938660600.0,2026-07-31,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,2026-09-02T16:40:50+00:00
2026-09-03,ENERGY_VALUATION_V1_1,Energy,midstream,EPD,2027Q1,4cc12f89b16ee036f590436d87ef3b06cd99327475dd0e64f1933c6ea2a65448,54377969225.2048,8372120759.044596,15.396162965137034,3890119543.083965,10.321728417088226,69.45458135972166,MARKET_IMPLIED_OPERATING_MARGIN_PCT,11.116198939474998,82.72713608717697,14444409618.0,2026-07-31,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,2026-09-02T16:40:50+00:00
2026-09-03,ENERGY_VALUATION_V1_1,Energy,ep,EQT,2027Q1,4cc12f89b16ee036f590436d87ef3b06cd99327475dd0e64f1933c6ea2a65448,9035801108.475248,1683254835.7827497,18.62872827295765,3968353695.75023,6.019614264070633,29.579387384805145,MARKET_IMPLIED_OPERATING_MARGIN_PCT,36.979109416832216,-44.93785049765494,2589874785.0,2026-07-31,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,2026-09-02T16:40:50+00:00
2026-09-03,ENERGY_VALUATION_V1_1,Energy,midstream,ET,2027Q1,4cc12f89b16ee036f590436d87ef3b06cd99327475dd0e64f1933c6ea2a65448,98850810507.8981,12906750889.018274,13.05679824242517,1604495455.751625,8.201627340167292,30.215286853545063,MARKET_IMPLIED_OPERATING_MARGIN_PCT,11.63350030661968,42.592198459391525,,,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,2026-09-02T16:40:50+00:00
