as_of_date,ticker,target_period,provider,metric,value,source_path,source_hash,created_at
2026-07-31,AR,2029Q4,FMP,REVENUE_USD,1742261317.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2029Q3,FMP,REVENUE_USD,1728551758.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2029Q2,FMP,REVENUE_USD,1714950077.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2029Q1,FMP,REVENUE_USD,1701455426.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2028Q4,FMP,REVENUE_USD,1834764582.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2028Q3,FMP,REVENUE_USD,1745131914.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2028Q2,FMP,REVENUE_USD,1669956287.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2028Q1,FMP,REVENUE_USD,1793475157.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2027Q4,FMP,REVENUE_USD,1746415297.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2027Q3,FMP,REVENUE_USD,1637019498.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
