ticker,sector,subindustry,source_status,source_path,source_sha256,sentences,frames,facts,reviews,abstentions,error,holdout_issuer,development_probe_issuer
AR,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\AR\2026-07-29_0001104659-26-088204_EX-99.1_tm2621397d1_ex99-1.htm,7276f0c6c32e2d115458eaf4732fa972343b230d938baca9e80031f5bd49b517,98,4,4,10,15,,False,False
CNX,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CNX\2026-07-30_0001070412-26-000056_EX-99.1_ex991supplementalq226.htm,ed75d0fbe78ec88793e503c4ab14d3c75b1a5e3c62d3e34998453728a9c52157,57,0,0,2,33,,False,False
COP,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\COP\2026-08-06_0001163165-26-000030_EX-99.1_cop-20260806x8kexx991.htm,27d5e7501b631ee3cd0aff938af5c383bc8c8f27dc7207f169f0fd842e70e2d4,72,8,9,6,8,,True,False
DVN,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\DVN\2026-08-04_0001193125-26-332824_EX-99.1_d359332dex991.htm,f4b6e7e47aa2adeed74f41328f0008e1f9f4aa5c27d3777f8f54480832109ac8,58,5,5,1,5,,True,False
EOG,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\EOG\2026-08-04_0000821189-26-000147_EX-99.1_exh99-1080426.htm,39643cb9e1fb9d1cc404e1ee8c234c329ef5ba6d0a88c30ee63a14585feaa0e0,48,0,0,0,22,,True,False
EQT,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\EQT\2026-07-21_0000033213-26-000041_EX-99.1_ex9916302026earningsrelease.htm,6eeb4516324955936c207037911c3a6543089102bac94868f3a8e37d7a07b2de,114,3,3,9,52,,False,True
FANG,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\FANG\2026-08-03_0001539838-26-000137_EX-99.1_diamondbackex991-8x3x26.htm,2b19a1f4d8e513a588e04b828f015de4e60f35cef9d4e4ad1fdd6280d5865db5,96,4,4,6,35,,True,False
MGY,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\MGY\2026-08-05_0001698990-26-000016_EX-99.2_mgy_2q26xearningspresent.htm,1b9a063e3ecb45a0fcdf7c5953349c8954c9aeb732b3b67309e7621e9129a891,30,1,1,2,13,,False,True
MTDR,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\MTDR\2026-08-05_0001520006-26-000036_EX-99.1_a20260630mtdr8ker-ex991.htm,270a1a120133c1a4acae1536278ca9630dfc39f257111ed65829f88d52e27db5,163,7,9,15,40,,False,True
NOG,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\NOG\2026-08-06_0001104485-26-000030_EX-99.1_exhibit991-2026qx2earnings.htm,6ca78d7b2f69d12f4349be0e7d5cbad761be09771a6c66ee9625f6c712469636,82,9,9,3,24,,False,True
OVV,ENERGY,ep,NO_ARCANA_IR_HTML,,,0,0,0,0,0,,False,True
PR,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\PR\2026-08-05_0001658566-26-000094_EX-99.1_ex991prq22026earningsrelea.htm,eed9ca00e5cda46bf123cf19926dacf68cada64c9407dd83239bf09f480c0885,151,5,6,10,39,,False,True
RRC,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\RRC\2026-07-22_0000315852-26-000018_EX-99.1_rrc-ex99_1.htm,b91e3f9c80f9dd1c8b52bb3db4db81ce610f18aeb13c68e1b514c638ab0c4840,96,5,6,4,21,,False,True
SM,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\SM\2026-08-05_0000893538-26-000119_EX-99.1_exhibit99108052026er.htm,157694c553d3096eb48e2f15be93f0316bb051bb9559843cdec649831533db20,69,5,6,9,17,,False,True
XOM,ENERGY,integrated,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\XOM\2026-07-31_0002115436-26-000006_EX-99.1_livef8k2q26991.htm,e1c214954f9be07f62f4e45ac9483ce69292c8d4a5b9b1ea7aa179dd71bd2516,192,2,0,2,20,,False,False
CVX,ENERGY,integrated,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CVX\2026-07-31_0000093410-26-000162_EX-99.1_a06302026ex9918-k.htm,819b11a4b37d18f1e54768f9b972921e1467186913143508f651b5982aaec93d,88,7,7,2,26,,False,False
VLO,ENERGY,refining,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\VLO\2026-07-30_0001628280-26-050822_EX-99.01_a6302026exh9901earningsrel.htm,180d8c9fe47a238e3fce12846dd6c2f54f632ddf228b907b4a80e36817e7b0b7,150,7,7,3,43,,False,False
MPC,ENERGY,refining,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\MPC\2026-08-04_0001510295-26-000060_EX-99.1_mpcq22026earningsrelease.htm,b6de481d4e041c891b7d666e444fdec9f044f74ff12a0ad8a0c0220a002f2e52,82,7,5,2,24,,True,False
PSX,ENERGY,refining,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\PSX\2026-04-06_0001534701-26-000015_EX-99.1_psx-2026_q1prexrelease.htm,594457f8fbf0ceab5cee5c4439119f47ed4fcd2e6baadcf246fc15474cf3c7e4,43,3,3,1,5,,False,False
KMI,ENERGY,midstream,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\KMI\2026-07-22_0001506307-26-000063_EX-99.1_kmi2026q28-kex991.htm,48f165a9f322dc33c5afd30166da31d85b032b97e65dbbce6db6ce10ffdcb3a6,126,6,6,5,39,,True,False
WMB,ENERGY,midstream,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\WMB\2026-08-03_0000107263-26-000024_EX-99.1_wmb_20260630xer.htm,5064730630ab8de72500a60461a0449c20d6acd204313f8eb32a155f44d26e03,106,8,3,6,35,,False,False
ET,ENERGY,midstream,NO_ARCANA_IR_HTML,,,0,0,0,0,0,,True,False
EPD,ENERGY,midstream,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\EPD\2026-07-30_0001061219-26-000017_EX-99.1_epd-20260730xex991q.htm,fe844e8d0e6b44aeee72e0b6c17d3b27f99a0cf9f867689eb77892d37b0b9b50,125,13,3,24,53,,False,False
SLB,ENERGY,services,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\SLB\2026-07-24_0001193125-26-315068_EX-99_d122193dex99.htm,f10798914225d182d6a7a39ed6317e2748f8bb6d256b3239d2f0034df93b1b85,277,32,25,22,106,,False,False
HAL,ENERGY,services,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HAL\2026-07-21_0000045012-26-000057_EX-99.1_livemastererdocument.htm,dcf8f2ab1e3ad65c8614af1110af263e7be40c6c9c34abc2a2ac9647bd5545e6,107,13,11,3,38,,False,False
BKR,ENERGY,services,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\BKR\2026-07-27_0001701605-26-000021_EX-99.1_earningsreleaseex991063020.htm,97c5692979509c020b1fa80d65b02f2429fbb3c354ac0b35dee91d8b1ea45982,102,19,14,3,26,,True,False
GD,INDUSTRIALS,aerospace_defense,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\GD\2026-07-29_0000040533-26-000029_EX-99.1_gd-20260705exhibit991.htm,f9a540c5233d79ee1e1f97538e5a589455250e6fba2908c9d12f7b67cef9488a,38,3,3,5,9,,False,False
CARR,INDUSTRIALS,building_products,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CARR\2026-07-28_0001783180-26-000030_EX-99_a99-q22026earningsexhibit.htm,601862a14b4a3e8ed16c0ab5819d50edded4757a5f407a78480030848c1986fa,78,4,2,6,27,,False,True
PWR,INDUSTRIALS,construction_engineering,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\PWR\2026-04-30_0001193125-26-193918_EX-99.1_d107542dex991.htm,8b2f6f6d5dbbdfb6c5c5aec6850a6ab73ebb69b35d4ffe6db2c0546b91d5c482,118,2,2,3,38,,False,True
ETN,INDUSTRIALS,electrical_components,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\ETN\2026-07-31_0001551182-26-000027_EX-99_etn06302026exhibit99.htm,8ad75d54782a018e5d1b38628eca27abd672d99cf62bf47a9807162b81769d3a,133,6,6,12,14,,False,True
GEV,INDUSTRIALS,heavy_electrical,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\GEV\2026-07-22_0001996810-26-000147_EX-99_gevpressrelease2q26.htm,0a64d6964e7417f081f1803045ab3008dc9daebbbd935c87cd30ecf0f3849842,103,18,18,11,27,,False,True
HON,INDUSTRIALS,industrial_conglomerates,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HON\2026-07-23_0000773840-26-000120_EX-99_exhibit99-q22026earningsre.htm,a1da4f327bbe6447d59f43ccb87a34a9bfeda3e4b3ddc9cd06f6243451575058,151,12,10,8,37,,False,True
CAT,INDUSTRIALS,construction_machinery,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2026-08-04_0000018230-26-000040_EX-99.1_ex991toformcat2q2026earnin.htm,2539b5761894163928553d200c8c219f97702cb454b97abccb3e2ff74a3dd1fd,127,26,4,11,31,,False,False
DE,INDUSTRIALS,agricultural_machinery,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\DE\2026-08-20_0001104659-26-098904_EX-99.1_de-20260820xex99d1.htm,54cb2eea9e7afd5e309227f8d1764c9fbaafd5a652e10b73c87a3baf05385ce2,56,5,1,7,12,,False,True
ITW,INDUSTRIALS,industrial_machinery,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\ITW\2026-07-28_0000049826-26-000047_EX-99.1_a20260630-2q26ex991pressre.htm,8668a266143199dbe971b08f67a232c9f75d7ebc25b67aad2cb78e51c7dc2796,41,5,5,5,13,,False,True
GWW,INDUSTRIALS,trading_distributors,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\GWW\2026-08-04_0000277135-26-000076_EX-99.1_gww8kex991q22026.htm,85c4a9128eaa60b7da82a676f1f44c7b352f9445d483558737c143dc977fbaa1,98,9,9,5,23,,False,True
QUAD,INDUSTRIALS,commercial_printing,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\QUAD\2026-07-28_0001481792-26-000128_EX-99.1_pressreleaseex991q22026.htm,ce2bba5c5fe0fe7c2827c1f0f730112b632b60cc18e2fbe4d1a53e40c2ada4bc,97,15,13,0,33,,False,True
WM,INDUSTRIALS,environmental_services,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\WM\2026-07-28_0001104659-26-087575_EX-99.1_tm2621414d1_ex99-1.htm,be924592355280c2b0e4e7b8071dd1fab584bd6f4209a74a9c7b8d49f07408ab,97,1,2,5,23,,False,True
ACCO,INDUSTRIALS,office_services,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\ACCO\2026-07-30_0001193125-26-326109_EX-99.1_acco-ex99_1.htm,92897b9298db71ed3610cd841c9381ee81cc907b2d6605b917d05d6fb697b1de,122,12,12,9,28,,False,False
CTAS,INDUSTRIALS,diversified_support,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CTAS\2026-07-15_0000723254-26-000025_EX-99_ex992026-5x31.htm,e25984016ccf7f552f9a8b71709dcd663c7bfbb47c6c53ee523527a207b239d3,77,4,4,11,7,,True,False
ADT,INDUSTRIALS,security_alarm,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\ADT\2026-03-02_0001703056-26-000013_EX-99.1_q42025adtearningsrelease-e.htm,acb14936d0c92e704b6ed572c752cd026658a093a66b8fd6b98714a87091ae1d,116,5,3,5,30,,True,False
MAN,INDUSTRIALS,human_resources,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\MAN\2026-07-16_0001193125-26-305399_EX-99.1_man-ex99_1.htm,746f469c99ade74217dc8ea38cbaaff99b76be4384c809bcc8f4a58a7f134ed9,40,9,7,0,11,,True,False
VRSK,INDUSTRIALS,research_consulting,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\VRSK\2026-07-29_0001437749-26-024748_EX-99.1_ex_968691.htm,8ceeb9a265166b86e18122f387d36f8109e31fc8c706f2eb0b0a4c522f151daa,91,0,0,1,26,,True,False
UPS,INDUSTRIALS,air_freight_logistics,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\UPS\2026-07-28_0001628280-26-049912_EX-99.1_exhibit991-earningspressre.htm,1cc4c7098f4c324c6d117a3b142f020a7c800602933ee885bb2247434522fb64,123,13,13,5,19,,True,False
DAL,INDUSTRIALS,passenger_airlines,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\DAL\2026-07-10_0000027904-26-000029_EX-99.1_deltaairlinesannouncesjune.htm,1b3f7e74c170febbe156916a649588b17c69ee1b4a35dc23b400653e69d86dc4,127,17,15,6,32,,True,False
MATX,INDUSTRIALS,marine_transportation,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\MATX\2026-08-03_0001104659-26-089794_EX-99.1_matx-20260803xex99d1.htm,5f075b746ef8fd9984fab137593f8f964e010d8d45e7ccf521f0fd4e62449d97,86,8,8,11,30,,True,False
UNP,INDUSTRIALS,rail_transportation,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\UNP\2026-07-23_0000100885-26-000249_EX-99.1_a2026-07x238xkex991earning.htm,a1d565109c229ac0b84cc128a17de2f3a6554bde4acfc48690a4098b372cdbcd,41,1,1,2,12,,True,False
ODFL,INDUSTRIALS,cargo_ground_transport,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\ODFL\2026-07-29_0000878927-26-000021_EX-99.1_odfl-ex99_1.htm,daf1fb24cdde9d5f9c42b170321d87d5f27605d57a7d009421781803cc86d225,44,5,5,2,12,,False,False
UBER,INDUSTRIALS,passenger_ground_transport,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\UBER\2026-08-05_0001543151-26-000027_EX-99.1_uberq226earningspressrelea.htm,75095008d178bfa60bb42a2bde20a7f3e0dbc99546454527fb8189248bff1b2d,97,5,5,2,36,,False,False
PAC,INDUSTRIALS,airport_services,NO_ARCANA_IR_HTML,,,0,0,0,0,0,,False,False
FER,INDUSTRIALS,highways_railtracks,NO_ARCANA_IR_HTML,,,0,0,0,0,0,,False,False
KEX,INDUSTRIALS,marine_ports_services,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\KEX\2026-07-29_0001193125-26-323594_EX-99.1_kex-ex99_1.htm,2a107d408fc2815383495eb70efaf5d83a45842830fea1120b19db9b20ee9a5b,110,29,25,5,19,,False,False
