metric,v2_2,v2_3,delta
critical_precision,1.0,1.0,0.0
critical_recall,0.0833333333333333,0.16666666666666666,0.08333333333333336
auto_coverage,0.032258064516129,0.05128205128205128,0.019023986765922284
review_rate,0.0967741935483871,0.2564102564102564,0.1596360628618693
abstention_rate,0.8709677419354839,0.6923076923076923,-0.17866004962779158
table_route_accuracy,0.8888888888888888,0.9473684210526315,0.05847953216374269
